Node Index,Vertex Records,Total Nodes,Leaf Nodes,Min Depth,Max Depth,Mean Depth,Size (MB),Build Time (ms)
0,8172410,1048575,524288,19,19,19,507.629,3786.59
0,40916417,8388607,4194304,22,22,22,2661.26,21302
0,171845573,33554431,16777216,24,24,24,11113.1,100260
