Scene,Method,SPP,QTree Depth,MSE,RMSE,MRSE,RRMSE,MAE,PSNR,SSIM,FLIP
Kitchen,PathGuide,128,-,432.30792,20.792015,0.7885215,0.8879874,12.843728,21.772871,0.5047062534212208,0.10810931026935577
Kitchen,PathGuideNew,128,-,324.02347,18.000652,3.1726158,1.7811838,11.2865715,23.025038,0.5421495238841983,0.09666348993778229
Kitchen,PathTrace,128,-,383.63812,19.586681,0.8870987,0.9418592,12.678585,22.291586,0.5022352243594047,0.11136126518249512
