Scene,Method,SPP,MSE,RMSE,MRSE,RRMSE,SSIM,FLIP
classroom,path_trace,32,1071.5668,32.734795,0.67763317,0.8231848,0.2557267871667338,0.23579029738903046
classroom,path_guide_photon,32,1035.6984,32.182266,0.6357531,0.7973413,0.25480921794516675,0.23942694067955017
classroom,path_guide_pss,32,957.3632,30.941286,0.5630088,0.7503391,0.26948215301993367,0.22567826509475708
classroom,path_trace,128,487.27615,22.074333,0.32712555,0.5719489,0.42508916030362137,0.1442703753709793
classroom,path_guide_photon,128,530.1997,23.026066,2.0763407,1.4409513,0.42084206441470906,0.14771518111228943
classroom,path_guide_pss,128,504.44876,22.459936,0.27664897,0.52597433,0.44095228786417234,0.13913904130458832
classroom,path_trace,512,135.29292,11.631549,0.12353459,0.35147488,0.6172951915336888,0.09216193109750748
classroom,path_guide_photon,512,158.47343,12.588623,0.102528304,0.3202004,0.6032467474308836,0.09608558565378189
classroom,path_guide_pss,512,167.63185,12.947272,0.09594115,0.30974367,0.6247220243735827,0.09046697616577148
