Scene,Method,SPP,MSE,RMSE,MRSE,RRMSE,MAE,PSNR,SSIM,FLIP
Kitchen,PathGuide,128,410.38434,20.257946,0.55388695,0.7442358,12.600214,21.998894,0.5104495910624887,0.10603909939527512
Kitchen,PathTrace,128,382.63025,19.560936,1.0460913,1.022786,12.651236,22.30301,0.5028430631334185,0.11183445155620575
