Scene,Method,SPP,MSE,RMSE,MRSE,RRMSE,MAE,PSNR,SSIM,FLIP
Kitchen,PathGuide,128,531.2796,23.049503,0.34483463,0.5872262,12.900469,20.877571,0.5596299251773351,0.1714237481355667
Kitchen,PathTrace,128,382.63025,19.560936,1.0460913,1.022786,12.651236,22.30301,0.5028430631334185,0.11183445155620575
