Scene,Method,SPP,MSE,RMSE,MRSE,RRMSE,SSIM,FLIP
staircase,path_trace,32,765.96826,27.676132,0.34956196,0.59123766,0.41069786493938937,0.15017260611057281
staircase,path_guide_photon,32,817.0091,28.58337,0.36409628,0.6034039,0.4011389318727142,0.15510396659374237
staircase,path_guide_pss,32,661.8317,25.72609,0.24870318,0.49870148,0.4495283999155306,0.13013406097888947
staircase,path_trace,128,268.79318,16.394913,0.10131834,0.3183054,0.6360561429504957,0.09236061573028564
staircase,path_guide_photon,128,348.92056,18.679415,0.14201187,0.3768446,0.6052472692000067,0.09893737733364105
staircase,path_guide_pss,128,226.38083,15.045958,0.07165637,0.26768708,0.6790985808220333,0.0798109844326973
staircase,path_trace,512,80.87295,8.992939,0.02790561,0.16704972,0.8247385061622792,0.0581742562353611
staircase,path_guide_photon,512,122.142746,11.051821,0.042976193,0.207307,0.7831706468244409,0.06538684666156769
staircase,path_guide_pss,512,69.320984,8.325922,0.027216187,0.16497329,0.8558392764450558,0.05048360303044319
