Node Index,Vertex Records,Total Nodes,Leaf Nodes,Min Depth,Max Depth,Mean Depth,Size (MB),Build Time (ms)
0,7872930,1048575,524288,19,19,19,490.493,3494.1
0,39371945,8388607,4194304,22,22,22,2572.88,21397.8
0,165300353,33554431,16777216,24,24,24,10738.6,97150.5
