Node Index,Vertex Records,Total Nodes,Leaf Nodes,Min Depth,Max Depth,Mean Depth,Size (MB),Build Time (ms)
0,1583800,262143,131072,17,17,17,100.626,639.751
0,7949377,1048575,524288,19,19,19,494.867,4166.05
0,33366091,4194303,2097152,21,21,21,2069.22,17043
