Scene,Method,SPP,MSE,RMSE,MRSE,RRMSE,SSIM,FLIP
kitchen,path_trace,32,1378.3817,37.126564,2.2620583,1.504014,0.33485068323181083,0.1993466317653656
kitchen,path_guide_photon,32,1321.0497,36.34625,11.067315,3.3267574,0.33680261799130234,0.2022511512041092
kitchen,path_guide_pss,32,1115.055,33.39244,3.1124089,1.764202,0.35703789256742213,0.1753867268562317
kitchen,path_trace,128,384.55133,19.60998,0.888714,0.9427163,0.5022526115180085,0.1113823726773262
kitchen,path_guide_photon,128,427.90967,20.685978,1.9365402,1.3915963,0.4963770159757303,0.11776487529277802
kitchen,path_guide_pss,128,322.6243,17.961746,2.8125167,1.677056,0.5426264539017736,0.09686554223299026
kitchen,path_trace,512,101.47339,10.0734005,0.2885123,0.5371334,0.7156656305027201,0.06528175622224808
kitchen,path_guide_photon,512,119.02355,10.909792,0.63984483,0.79990304,0.6951797089724314,0.07135341316461563
kitchen,path_guide_pss,512,92.89031,9.637962,0.24253282,0.49247622,0.7504225170825508,0.058134350925683975
