Node Index,Vertex Records,Total Nodes,Leaf Nodes,Min Depth,Max Depth,Mean Depth,Size (MB),Build Time (ms)
0,3200090,524287,262144,18,18,18,203.111,1247.35
0,16032947,2097151,1048576,20,20,20,997.413,7501.67
0,67342089,8855057,4427529,22,23,22.1054,4191.14,35791.8
