Node Index,Vertex Records,Total Nodes,Leaf Nodes,Min Depth,Max Depth,Mean Depth,Size (MB),Build Time (ms)
0,10496247,2097151,1048576,20,20,20,680.6,4971.64
0,41960986,8388607,4194304,22,22,22,2721.03,24263.9
0,167941334,33554431,16777216,24,24,24,10889.7,98010
