Node Index,Vertex Records,Total Nodes,Leaf Nodes,Min Depth,Max Depth,Mean Depth,Size (MB),Build Time (ms)
0,8337640,1048575,524288,19,19,19,517.084,4445.87
0,33357625,4194303,2097152,21,21,21,2068.74,20261.4
0,133498505,16777215,8388608,23,23,23,8278.85,74754.2
