Node Index,Vertex Records,Total Nodes,Leaf Nodes,Min Depth,Max Depth,Mean Depth,Size (MB),Build Time (ms)
0,10907148,2097151,1048576,20,20,20,704.112,6363.44
0,43652224,8388607,4194304,22,22,22,2817.8,27019.6
0,174657474,33554431,16777216,24,24,24,11274,102914
