Node Index,Vertex Records,Total Nodes,Leaf Nodes,Min Depth,Max Depth,Mean Depth,Size (MB),Build Time (ms)
0,8167689,1048575,524288,19,19,19,507.359,3594.72
0,40898958,8388607,4194304,22,22,22,2660.26,22779.4
0,171811168,33554431,16777216,24,24,24,11111.1,99989.9
